"File"	"Group"	"X."	"duration"	"interval"	"disttomax"	"start.time"	"end.time"	"peak.freq.start."	"peak.ampl.start."	"min.freq.start."	"max.freq.start."	"bandw.start."	"peak.freq.end."	"peak.ampl.end."	"min.freq.end."	"max.freq.end."	"bandw.end."	"peak.freq.centre."	"peak.ampl.centre."	"min.freq.centre."	"max.freq.centre."	"bandw.centre."	"peak.freq.max."	"peak.ampl.max."	"min.freq.max."	"max.freq.max."	"bandw.max."	"Especie"
"37"	"2020-02-23 22-08-38"	2	2	0.0012	"2.0400000000000001E-2"	4e-04	0.026	0.0272	89077	-66.43	76875	133125	56250	85626	-67.49	75312	113125	37812	89079	-64.65	75937	117187	41250	89079	-64.65	75937	117187	41250	"Centurio senex"
"38"	"2020-02-23 22-08-38"	2	3	0.0016	"4.9200000000000001E-2"	8e-04	0.0752	0.0768	90617	-67.87	78437	136875	58437	86598	-66.69	76562	106562	30000	90324	-62.8	77187	126250	49062	90324	-62.8	77187	126250	49062	"Centurio senex"
"39"	"2020-02-23 22-08-38"	2	4	0.0016	"2.3199999999999998E-2"	8e-04	0.0984	0.1	91878	-66.65	77812	131562	53750	88763	-69.16	75937	125937	50000	88764	-63.31	76250	130000	53750	88764	-63.31	76250	130000	53750	"Centurio senex"
"40"	"2020-02-23 22-08-38"	2	5	0.0016	"0.02"	8e-04	0.1184	0.12	89365	-64.91	77812	131875	54062	86574	-68.34	74375	103437	29062	89356	-62.05	75312	126562	51250	89356	-62.05	75312	126562	51250	"Centurio senex"
"41"	"2020-02-23 22-08-38"	2	6	0.0012	"3.5200000000000002E-2"	8e-04	0.1536	0.1548	86545	-66.55	77187	134375	57187	85951	-65.59	76875	124062	47187	86242	-63.95	77187	133750	56562	85957	-63.62	76875	125000	48125	"Centurio senex"
"42"	"2020-02-23 22-08-38"	2	7	0.0016	"2.24E-2"	8e-04	0.176	0.1776	89984	-67.53	75937	135625	59687	86564	-66.2	75625	118125	42500	86582	-62.13	75937	122187	46250	86582	-62.13	75937	122187	46250	"Centurio senex"
"43"	"2020-02-23 22-08-38"	2	8	8e-04	"3.8399999999999997E-2"	4e-04	0.2144	0.2152	88116	-67.08	77812	134062	56250	87822	-66.99	76562	127812	51250	87836	-65.9	77812	130937	53125	87836	-65.9	77812	130937	53125	"Centurio senex"
"44"	"2020-02-23 22-08-38"	2	9	0.0012	"2.5600000000000001E-2"	4e-04	0.24	0.2412	88438	-67.89	77812	129062	51250	88431	-68.25	74062	115937	41875	88436	-65.66	77812	120000	42187	88436	-65.66	77812	120000	42187	"Centurio senex"
"45"	"2020-02-23 22-08-38"	2	10	8e-04	"2.0799999999999999E-2"	4e-04	0.2608	0.2616	88431	-67.4	76250	118125	41875	84679	-68.34	72812	113437	40625	88425	-66.73	75000	117500	42500	88425	-66.73	75000	117500	42500	"Centurio senex"
"46"	"2020-02-23 22-10-15"	1	1	0.0012	"_"	4e-04	0.0541	0.0553	88748	-61.5	76875	130312	53437	89025	-63.15	76562	113125	36562	88745	-59.72	76562	125000	48437	88745	-59.72	76562	125000	48437	"Centurio senex"
"47"	"2020-02-23 22-10-15"	1	2	0.0016	"2.12E-2"	8e-04	0.0753	0.0769	87808	-60.23	76562	121562	45000	87786	-60.3	75625	96875	21250	87798	-55.45	76250	97500	21250	87798	-55.45	76250	97500	21250	"Centurio senex"
"48"	"2020-02-23 22-10-25"	1	1	0.0016	"_"	8e-04	0.1307	0.1323	86886	-64.8	71875	122812	50937	86559	-62.94	67500	116875	49375	86872	-59.1	70000	119375	49375	86872	-59.1	70000	119375	49375	"Centurio senex"
"49"	"2020-02-23 22-10-25"	1	2	0.002	"3.9199999999999999E-2"	0.0012	0.1699	0.1719	90005	-64.86	72187	135625	63437	89996	-64.07	68750	115000	46250	90001	-57.1	69375	119375	50000	90000	-56.96	69062	118750	49687	"Centurio senex"
"50"	"2020-02-23 22-10-25"	2	1	0.0012	"_"	4e-04	0.0278	0.029	91564	-65.68	73125	138437	65312	86887	-65.79	71875	129375	57500	87189	-63.41	72812	135625	62812	87189	-63.41	72812	135625	62812	"Centurio senex"
"51"	"2020-02-23 22-10-25"	2	2	0.0016	"3.3599999999999998E-2"	8e-04	0.0614	0.063	88442	-65.18	70312	137812	67500	84075	-66.22	65625	120312	54687	88438	-60.93	69062	134062	65000	88438	-60.93	69062	134062	65000	"Centurio senex"
"52"	"2020-02-23 22-10-25"	2	3	0.0012	"0.1988"	8e-04	0.2602	0.2614	90626	-66.79	74375	142187	67812	88761	-66.27	70937	136562	65625	89068	-64.33	74062	141562	67500	88765	-64.14	71562	138437	66875	"Centurio senex"
"53"	"2020-02-23 22-10-25"	2	4	0.0012	"2.76E-2"	8e-04	0.2878	0.289	87806	-68.39	42187	142500	100312	87500	-66.93	40937	135625	94687	87504	-65.59	69375	137812	68437	87502	-65.09	69375	135937	66562	"Centurio senex"
