Punto	X	Y	Abu_Lomb	HZ_A 	HS	DA	pH	BH	BDF	MO 	estacion
1	1045190.56711000000	1352342.53120000000	13	6.0	40.4	0.8	7.4	50.0	46.8	11.0	Lluvia
3	1044695.40874000000	1351376.91084000000	1	4.0	53.7	0.6	7.6	13.3	8.4	13.0	Lluvia
4	1044750.59411000000	1351363.43036000000	5	4.5	44.9	0.6	7.5	20.9	193.2	9.2	Lluvia
5	1044811.90330000000	1351356.72247000000	2	2.0	42.9	0.7	7.5	33.2	30.4	15.5	Lluvia
6	1044874.57414000000	1351350.69263000000	13	3.7	54.0	1.7	7.4	16.8	217.3	19.4	Lluvia
7	1044930.43358000000	1351344.65632000000	4	5.2	70.2	1.0	7.1	79.0	121.0	21.3	Lluvia
8	1044993.10382000000	1351339.30330000000	12	4.4	43.4	0.7	7.5	86.3	67.1	18.2	Lluvia
9	1045051.00543000000	1351334.62244000000	2	4.7	52.9	0.8	7.5	4.1	29.5	12.9	Lluvia
10	1045106.86297000000	1351330.61633000000	3	3.0	70.2	0.8	7.5	22.2	64.3	17.0	Lluvia
11	1045110.21119000000	1351390.16609000000	1	1.5	45.2	0.8	7.5	31.5	124.0	18.1	Lluvia
12	1045106.74930000000	1351448.35587000000	11	4.3	59.1	0.5	7.6	33.0	NA	20.9	Lluvia
13	1045065.17300000000	1351476.05895000000	0	6.4	58.6	0.7	7.2	29.9	84.1	26.3	Lluvia
14	1045006.59172000000	1351479.38580000000	2	3.0	67.5	0.7	7.5	22.4	61.0	26.5	Lluvia
15	1044945.96510000000	1351484.74074000000	5	4.0	56.4	0.7	7.6	44.6	45.4	17.6	Lluvia
16	1044886.70142000000	1351489.42041000000	1	5.0	49.8	0.7	7.6	21.8	25.2	20.4	Lluvia
17	1044826.75596000000	1351494.77615000000	2	2.5	56.0	0.6	7.4	47.2	60.1	19.0	Lluvia
18	1044768.17152000000	1351501.48661000000	0	0.5	54.5	0.7	7.9	41.2	13.7	18.0	Lluvia
19	1044705.50154000000	1351506.83990000000	6	9.0	69.2	0.4	7.1	50.5	67.7	25.1	Lluvia
20	1044646.91712000000	1351513.55050000000	6	4.0	57.1	0.7	7.2	20.6	10.3	20.4	Lluvia
21	1044652.98787000000	1351575.80921000000	1	5.0	55.3	0.7	7.3	39.7	93.2	18.9	Lluvia
22	1044658.38134000000	1351634.00723000000	0	3.5	48.3	0.8	7.3	59.4	36.6	16.3	Lluvia
23	1044718.32723000000	1351627.97464000000	6	4.5	77.4	0.5	7.4	30.7	69.9	18.7	Lluvia
24	1044776.90827000000	1351624.64745000000	0	4.0	61.2	0.5	7.1	50.6	21.8	21.8	Lluvia
25	1044838.21843000000	1351616.58633000000	0	4.0	43.1	0.6	7.4	60.0	75.0	19.2	Lluvia
26	1044899.52731000000	1351609.87860000000	10	3.5	54.0	0.6	7.4	39.2	126.2	23.8	Lluvia
27	1044956.74807000000	1351604.52035000000	0	5.0	50.6	0.7	7.6	31.6	106.8	13.6	Lluvia
28	1045017.37650000000	1351597.13546000000	0	5.0	47.5	0.6	7.6	49.3	132.1	21.6	Lluvia
29	1045077.32055000000	1351593.13329000000	1	5.5	66.4	0.5	7.4	27.6	14.3	21.9	Lluvia
30	1045116.13040000000	1351608.73398000000	0	5.3	51.9	0.5	7.6	50.5	85.9	17.2	Lluvia
31	1045120.15904000000	1351668.96071000000	0	2.8	60.2	0.6	7.1	20.5	87.5	18.7	Lluvia
32	1045087.42267000000	1351712.23536000000	6	4.0	58.8	0.7	7.5	34.9	41.9	21.0	Lluvia
33	1045029.52088000000	1351717.59278000000	5	2.0	49.6	0.9	7.4	8.5	9.3	16.0	Lluvia
34	1044970.25878000000	1351720.91898000000	5	5.8	58.3	0.7	7.8	92.0	125.6	26.0	Lluvia
35	1044909.63117000000	1351727.62724000000	2	3.5	63.9	0.8	7.6	19.8	19.1	14.7	Lluvia
36	1044849.68537000000	1351733.65958000000	0	4.0	56.3	0.8	7.1	10.9	26.3	15.0	Lluvia
37	1044789.73958000000	1351739.69199000000	2	1.5	44.7	0.8	7.4	8.3	9.8	12.6	Lluvia
38	1044729.79447000000	1351745.04781000000	0	6.0	68.2	0.7	7.5	7.9	42.1	19.1	Lluvia
39	1044671.21164000000	1351750.40502000000	4	3.8	53.1	0.8	7.2	25.2	12.5	14.2	Lluvia
40	1044658.22930000000	1351793.02211000000	2	2.0	45.5	1.0	7.1	21.7	17.9	11.9	Lluvia
41	1044684.06127000000	1351846.50281000000	4	0.0	50.3	0.8	7.6	6.8	7.0	13.2	Lluvia
42	1044741.25838000000	1351865.50399000000	3	7.3	55.2	0.8	7.2	31.7	99.8	31.8	Lluvia
43	1044799.84172000000	1351859.47024000000	0	4.0	70.9	0.5	7.4	31.4	NA	17.4	Lluvia
44	1044859.78736000000	1351853.43786000000	3	3.0	89.1	0.6	7.4	25.3	164.0	22.2	Lluvia
45	1044921.09398000000	1351848.76019000000	8	6.0	61.9	0.7	7.4	42.9	40.2	22.7	Lluvia
46	1044982.40126000000	1351843.40594000000	2	9.0	57.1	0.5	7.3	28.4	31.5	21.1	Lluvia
47	1045038.26079000000	1351836.69320000000	0	3.2	79.6	0.6	7.5	30.3	5.8	23.4	Lluvia
48	1045100.24730000000	1351833.36973000000	4	8.0	55.0	0.6	7.1	39.9	106.0	26.6	Lluvia
49	1045160.87612000000	1351825.30842000000	4	3.0	47.1	0.6	7.3	23.7	28.8	18.1	Lluvia
50	1045218.09601000000	1351820.62718000000	1	4.0	NA	0.6	7.4	46.8	160.5	22.7	Lluvia
51	1045227.57686000000	1351877.47564000000	3	4.0	42.6	0.7	7.7	27.3	96.9	17.2	Lluvia
52	1045212.52770000000	1351943.77348000000	3	8.5	72.0	0.5	7.7	50.5	88.1	36.4	Lluvia
53	1045152.58277000000	1351949.12873000000	3	8.7	78.9	0.6	8.0	40.2	98.5	25.0	Lluvia
54	1045091.27624000000	1351953.80609000000	5	7.3	57.4	0.6	7.8	51.8	52.1	24.3	Lluvia
55	1045031.32939000000	1351961.19146000000	4	3.8	64.0	1.1	7.6	47.3	24.4	15.2	Lluvia
56	1044972.74808000000	1351965.19494000000	6	5.0	NA	0.7	7.3	42.7	83.1	25.7	Lluvia
57	1044914.16484000000	1351971.22845000000	10	6.0	78.9	0.6	7.8	13.2	128.6	26.4	Lluvia
58	1044853.54015000000	1351975.23011000000	3	5.3	54.6	0.8	7.6	14.5	14.1	18.2	Lluvia
59	1044792.23307000000	1351980.58451000000	0	3.0	50.1	0.7	7.6	23.8	34.8	13.7	Lluvia
60	1044732.96939000000	1351985.94094000000	1	2.5	64.2	0.7	7.4	13.2	4.2	15.9	Lluvia
61	1044673.70573000000	1351991.29745000000	11	5.5	47.5	0.8	7.7	7.3	3.5	13.6	Lluvia
62	1044762.11475000000	1352103.27915000000	1	4.1	52.6	1.0	7.4	16.1	22.1	15.3	Lluvia
63	1044892.00415000000	1352172.92170000000	8	5.0	54.6	0.7	7.7	15.0	2.8	17.1	Lluvia
64	1044951.26632000000	1352168.91881000000	1	2.2	76.7	0.8	7.1	15.7	46.7	21.8	Lluvia
65	1045011.89402000000	1352161.53404000000	0	7.0	70.0	0.8	7.3	18.4	53.4	16.0	Lluvia
66	1045071.15818000000	1352155.50134000000	5	7.3	84.7	0.6	7.2	17.0	30.7	23.4	Lluvia
67	1045131.78461000000	1352149.47002000000	6	3.0	74.9	0.5	7.1	19.8	33.5	18.1	Lluvia
68	1045191.73060000000	1352142.76148000000	9	4.5	88.4	0.7	7.3	11.4	38.8	22.4	Lluvia
69	1045251.67529000000	1352137.40631000000	15	12.0	55.8	0.5	7.6	71.3	53.5	24.0	Lluvia
70	1045268.83802000000	1352174.56746000000	16	7.5	47.6	0.8	7.3	29.8	23.6	17.9	Lluvia
71	1045236.11822000000	1352200.92522000000	4	9.5	42.2	0.5	7.7	44.3	65.8	20.6	Lluvia
72	1045176.85540000000	1352205.60441000000	4	6.0	52.3	0.8	7.4	43.7	122.6	13.0	Lluvia
73	1045116.91015000000	1352211.63630000000	0	4.5	59.6	0.7	7.2	32.7	73.2	20.9	Lluvia
74	1045057.64605000000	1352217.66894000000	8	3.7	68.9	0.6	7.5	36.3	75.6	16.2	Lluvia
75	1045017.43597000000	1352241.98963000000	3	5.0	69.6	0.7	7.6	38.7	78.0	17.6	Lluvia
76	1045064.40116000000	1352275.86756000000	6	3.0	71.3	0.7	7.2	60.5	72.1	18.2	Lluvia
77	1045122.28200000000	1352291.48647000000	4	8.5	46.3	0.5	7.7	30.2	17.5	14.7	Lluvia
78	1045181.54602000000	1352285.45394000000	23	5.5	24.6	0.9	7.1	57.0	61.8	7.8	Lluvia
80	1044847.67078000000	1352136.84275000000	1	2.5	44.2	0.9	7.7	17.9	9.4	10.6	Lluvia
81	1044843.61181000000	1352097.63509000000	8	6.8	82.1	0.7	7.4	34.3	24.9	31.0	Lluvia
82	1044902.93426000000	1352091.18091000000	3	1.5	70.3	0.8	NA	14.1	43.4	18.1	Lluvia
83	1044962.58475000000	1352084.40156000000	2	6.2	63.3	0.6	7.7	20.1	51.5	17.5	Lluvia
84	1045021.90535000000	1352079.90088000000	2	7.8	72.7	0.7	7.4	15.2	47.9	18.9	Lluvia
85	1045082.21036000000	1352074.09899000000	14	4.4	93.4	0.6	7.8	17.9	36.7	27.7	Lluvia
86	1045142.84374000000	1352067.64637000000	2	6.5	55.2	0.8	7.5	51.5	23.3	13.7	Lluvia
87	1045202.49306000000	1352062.16956000000	0	3.5	66.3	0.7	7.4	25.7	46.4	16.5	Lluvia
88	1045261.15956000000	1352056.36630000000	2	6.0	64.0	0.8	7.7	17.2	44.4	20.8	Lluvia
89	1045301.49115000000	1352032.96505000000	1	6.0	41.1	1.1	7.2	48.4	46.3	10.4	Lluvia
90	1044658.21540000000	1351432.12427000000	1	4.5	48.4	0.8	7.3	47.6	45.2	13.4	Lluvia
91	1045108.01153000000	1351509.01193000000	3	4.0	NA	0.9	7.5	26.6	21.7	21.0	Lluvia
92	1044646.47241000000	1351694.75180000000	2	1.0	44.2	0.8	7.4	95.4	7.7	15.2	Lluvia
93	1045130.21086000000	1351746.77281000000	4	6.0	46.3	0.6	7.9	48.5	80.2	20.0	Lluvia
94	1045194.75710000000	1351761.15998000000	2	2.5	50.6	0.7	7.4	34.0	69.6	23.5	Lluvia
95	1044706.05825000000	1351929.41746000000	0	0.5	56.8	0.9	7.5	24.8	10.3	16.1	Lluvia
96	1045272.99160000000	1351957.40199000000	5	4.3	37.2	0.7	7.6	49.4	29.4	13.1	Lluvia
97	1045236.29305000000	1351957.92491000000	6	10.0	44.8	0.6	7.4	79.5	119.5	24.3	Lluvia
98	1044714.62873000000	1352027.90131000000	20	2.5	50.4	0.6	7.1	27.9	37.7	16.4	Lluvia
99	1045284.45987000000	1352094.36567000000	3	9.0	95.6	0.9	7.6	32.8	121.4	35.7	Lluvia
100	1045113.73008000000	1351564.57605000000	1	4.5	63.9	0.7	8.0	29.5	26.8	26.2	Lluvia
